"SCINAME","pred_threat.y","Likely.true.status.y","iucn_sc_pred"
"Apus sladeniae","not.threatened","Not threatened?",3
"Bathmocercus cerviniventris","NT","",4
"Cisticola melanurus","not.recognised","Not Recognised?",0
"Cisticola restrictus","not.recognised","Not Recognised?",0
"Columba oliviae","NT","Near Threatened?
",4
"Estrilda nigriloris","NT","Near Threatened?
",4
"Jubula lettii","not.threatened","Not threatened?",3
"Lobotos oriolinus","not.threatened","Not threatened?",3
"Macronyx grimwoodi","not.threatened","Not threatened?",3
"Mirafra pulpa","not.threatened","Not threatened?",3
"Oenanthe dubia","not.threatened","Not threatened?",3
"Ploceus ruweti","threatened","Threatened?",16
"Pogoniulus makawai","not.threatened","Not threatened?",3
"Pseudochelidon eurystomina","not.threatened","Not threatened?",3
"Spizocorys obbiensis","not.threatened","Not threatened?",3
"Sylvietta philippae","not.threatened","Not threatened?",3
"Acrocephalus orinus","not.threatened","Not threatened?",3
"Aegotheles tatei","not.threatened","Not threatened?",3
"Aerodramus orientalis","not.threatened","Not threatened?",3
"Aerodramus papuensis","not.threatened","Not threatened?",3
"Aerodramus whiteheadi","not.threatened","Not threatened?",3
"Androphobus viridis","not.threatened","Not threatened?",3
"Caprimulgus centralasicus","threatened","Threatened?",16
"Carpodacus sillemi","not.threatened","Not threatened?",3
"Cracticus louisiadensis","NT","Near Threatened?
",4
"Erythropitta meeki","threatened","Endangered",16
"Erythrotriorchis buergersi","threatened","Threatened?",16
"Lewinia mirifica","not.threatened","Not threatened?",3
"Micromacronus leytensis","NT","Near Threatened?
",4
"Microptilotis vicina","NT","Near Threatened?
",4
"Myzomela albigula","NT","Near Threatened?
",4
"Petroica archboldi","not.threatened","Not threatened?",3
"Pycnonotus nieuwenhuisii","not.recognised","Not Recognised?",0
"Tanysiptera hydrocharis","not.threatened","Not threatened?",3
"Turnix worcesteri","not.threatened","Not threatened?",3
"Zosterops meeki","NT","Near Threatened?
",4
