SCINAME.old,SCINAME
Larus thayeri,Larus glaucoides
Phalacrocorax auritus,Nannopterum auritus
Phalacrocorax bougainvilliorum,Leucocarbo bougainvilliorum
Phalacrocorax brasilianus,Nannopterum brasilianus
Phalacrocorax colensoi,Leucocarbo colensoi
Phalacrocorax campbelli,Leucocarbo campbelli
Phalacrocorax carunculatus,Leucocarbo carunculatus
Phalacrocorax chalconotus,Leucocarbo chalconotus
Phalacrocorax onslowi,Leucocarbo onslowi
Phalacrocorax pelagicus,Urile pelagicus
Phalacrocorax ranfurlyi,Leucocarbo ranfurlyi
Phalacrocorax urile,Urile urile
Phalacrocorax verrucosus,Leucocarbo verrucosus
Procelsterna albivitta,Anous albivittus
Procelsterna cerulea,Anous ceruleus
Phalacrocorax atriceps,Leucocarbo atriceps
Phalacrocorax magellanicus,Leucocarbo magellanicus
Phalacrocorax penicillatus,Urile penicillatus
Cacicus vitellinus,Cacicus flavicrissus
Phalacrocorax aristotelis,Gulosus aristotelis
Phalacrocorax gaimardi,Poikilocarbo gaimardi
Phalacrocorax harrisi,Nannopterum harrisi
Calliphlox evelynae,Nesophlox evelynae
